user,item,label
15296, 12961,0
44888,7920,1
44888, 8379,0
17578,8860,1
17578, 15955,0
32532,6448,1
32532, 3725,0
39026,2969,1
39026, 14716,0
36585,11915,1
36585, 1460,0
9998,14032,1
9998, 16848,0
20213,2335,1
20213, 464,0
16526,17431,1
16526, 9563,0
40972,13009,1
40972, 18225,0
33359,13379,1
33359, 8903,0
41609,1091,1
41609, 14223,0
30071,5260,1
30071, 3491,0
34571,13074,1
34571, 9333,0
5974,7029,1
5974, 11975,0
23457,17072,1
23457, 3744,0
7275,13438,1
7275, 16462,0
24798,16280,1
24798, 10399,0
11761,15784,1
11761, 13320,0
30970,13072,1
30970, 17053,0
19149,5897,1
19149, 5503,0
3169,13622,1
3169, 6348,0
33931,19439,1
33931, 15122,0
25422,5978,1
25422, 12844,0
27709,14128,1
27709, 4985,0
675,17982,1
675, 7169,0
12295,10374,1
12295, 9288,0
9313,11924,1
9313, 13211,0
49055,12348,1
49055,9972,0
11924,15400,1
11924, 17418,0
10984,8109,1
10984, 16427,0
21292,835,1
21292,3081,0
43464,6183,1
43464, 559,0
40983,14055,1
40983, 7948,0
2426,13809,1
2426, 13675,0
34426,3272,1
34426, 10910,0
5556,18419,1
5556, 10949,0
39683,16613,1
39683, 3847,0
9543,6814,1
9543, 19107,0
45315,8085,1
45315, 16590,0
29169,482,1
29169, 622,0
1735,7192,1
1735, 17190,0
26303,17072,1
26303, 10163,0
42505,12327,1
42505, 14055,0
29369,1691,1
29369, 12990,0
21234,1002,1
21234,16464,0
17296,16280,1
17296, 6045,0
3988,17777,1
3988, 15564,0
34897,14343,1
34897, 14903,0
6057,3410,1
6057, 11896,0
13624,8096,1
13624, 16978,0
40255,9719,1
40255, 16417,0
23140,13800,1
23140, 17228,0
16471,15965,1
16471, 7127,0
43989,14536,1
43989, 8025,0
4648,14799,1
4648, 5069,0
20833,2379,1
20833, 2663,0
24092,17997,1
24092,340,0
47480,6913,1
47480, 10369,0
40442,18337,1
40442, 1969,0
31300,10686,1
31300, 15452,0
27222,15845,1
27222, 10858,0
46061,7079,1
46061, 3572,0
47258,1163,1
47258, 17434,0
5293,3715,1
5293, 17104,0
3235,9797,1
3235, 12951,0
21498,13082,1
21498, 6894,0
26197,6369,1
26197, 15482,0
28487,11103,1
28487, 8649,0
11534,7940,1
11534, 7380,0
45165,888,1
45165,15744,0
2557,11924,1
2557, 12603,0
39812,14458,1
39812, 10676,0
10765,17785,1
10765, 7950,0
4605,6647,1
4605, 269,0
25741,18522,1
25741, 15764,0
39915,17431,1
39915, 2465,0
26092,7110,1
26092, 9896,0
47316,8095,1
47316, 16748,0
16070,7511,1
16070, 6445,0
10709,11920,1
10709, 16826,0
5953,3779,1
5953, 15436,0
4744,17567,1
4744, 9058,0
2578,8117,1
2578, 16560,0
14133,16827,1
14133, 12180,0
32386,3998,1
32386, 1177,0
41143,10311,1
41143, 11612,0
23634,733,1
23634, 17905,0
4151,54,1
4151, 11337,0
40771,15955,1
40771, 9082,0
28142,5294,1
28142, 13657,0
26549,16319,1
26549, 16771,0
661,1689,1
661, 2263,0
34230,9128,1
34230, 19130,0
47570,13664,1
47570, 2702,0
9606,7098,1
9606, 13983,0
36597,2815,1
36597, 4245,0
32435,12789,1
32435, 5826,0
41057,18825,1
41057, 10955,0
174,878,1
174, 2849,0
41017,16033,1
41017, 838,0
30365,9512,1
30365, 5750,0
45937,11778,1
45937, 13481,0
34171,14433,1
34171, 10766,0
28009,10611,1
28009, 8636,0
15925,2646,1
15925, 8976,0
24030,6183,1
24030, 15680,0
20539,15955,1
20539, 7538,0
11508,17546,1
11508, 21,0
27880,8155,1
27880, 10557,0
10887,7316,1
10887, 15800,0
17980,776,1
17980, 13834,0
24691,15026,1
24691, 2968,0
43284,17205,1
43284, 18652,0
16250,18965,1
16250, 17097,0
17057,4896,1
17057, 3210,0
3275,12400,1
3275, 1455,0
8623,10926,1
8623, 1978,0
47904,989,1
47904, 6294,0
19309,6980,1
19309, 16419,0
17144,15242,1
17144, 2168,0
1054,3628,1
1054, 4268,0
14171,432,1
14171,15477,0
21243,5977,1
21243, 17117,0
38356,11920,1
38356, 8258,0
25112,8217,1
25112, 6073,0
41974,16794,1
41974, 2497,0
10665,19664,1
10665, 5680,0
17845,16726,1
17845, 8030,0
5920,1002,1
5920, 6971,0
1937,12072,1
1937, 17454,0
6801,13688,1
6801, 2883,0
15282,6541,1
15282, 11325,0
41509,14124,1
41509, 3721,0
29703,8371,1
29703, 5977,0
33631,10648,1
33631, 4315,0
23999,11663,1
23999, 4913,0
20921,19591,1
20921, 13800,0
46623,8371,1
46623, 8228,0
44675,10508,1
44675, 9816,0
28631,11924,1
28631, 1379,0
43492,8272,1
43492, 16456,0
22391,18617,1
22391, 12362,0
43869,16920,1
43869, 7123,0
21049,15663,1
21049, 11000,0
47510,17432,1
47510, 1811,0
11378,3895,1
11378, 6876,0
18320,4902,1
18320, 2963,0
26046,156,1
26046, 8927,0
30442,6282,1
30442, 14908,0
43789,54,1
43789, 5057,0
42643,16413,1
42643, 18574,0
12191,9014,1
12191, 1131,0
39787,3614,1
39787, 9975,0
36331,19283,1
36331, 16214,0
11873,8768,1
11873, 859,0
3904,2540,1
3904, 9728,0
18686,7963,1
18686, 10684,0
10436,13550,1
10436, 17592,0
25931,18961,1
25931, 12529,0
24940,16964,1
24940, 3138,0
4155,8766,1
4155, 1064,0
27122,10665,1
27122, 14638,0
24644,2929,1
24644, 436,0
16028,19432,1
16028, 544,0
8798,680,1
8798, 8206,0
31545,17946,1
31545, 16943,0
11347,14799,1
11347, 7713,0
17728,247,1
17728, 18174,0
30631,11202,1
30631, 17236,0
37012,9938,1
37012, 5484,0
17824,9797,1
17824,7939,0
33339,9017,1
33339, 7252,0
35959,8739,1
35959, 13053,0
14160,17704,1
14160, 18074,0
28625,18482,1
28625,4986,0
6217,9539,1
6217, 8690,0
35008,8997,1
35008, 11351,0
954,5116,1
954, 7023,0
44546,4473,1
44546, 9102,0
41106,11321,1
41106, 11070,0
6802,19558,1
6802, 11517,0
46218,5549,1
46218, 3180,0
30270,5301,1
30270, 4244,0
46527,13328,1
46527, 13351,0
15773,12623,1
15773, 2102,0
9053,8704,1
9053, 1672,0
44222,13696,1
44222, 13069,0
14874,4896,1
14874, 10745,0
25627,11299,1
25627, 1911,0
47812,11726,1
47812, 10979,0
34310,277,1
34310, 9856,0
31262,4047,1
31262, 5061,0
17638,8067,1
17638, 7038,0
22543,17474,1
22543, 2725,0
2747,17850,1
2747, 1207,0
12075,6539,1
12075, 12991,0
28403,11148,1
28403, 14489,0
14172,10678,1
14172, 17080,0
2788,5749,1
2788, 6299,0
42918,3260,1
42918, 867,0
42523,10237,1
42523,19110,0
26252,14475,1
26252, 10887,0
49832,11078,1
49832, 13198,0
6367,14768,1
6367, 10025,0
24704,2099,1
24704, 3341,0
43670,18400,1
43670, 15471,0
4804,3614,1
4804, 13381,0
45336,9651,1
45336, 1612,0
32449,2245,1
32449, 12383,0
46995,19283,1
46995, 19292,0
40091,15372,1
40091,428,0
17478,1243,1
17478, 15192,0
21913,4110,1
21913, 18,0
13917,8739,1
13917, 12170,0
49676,831,1
49676, 4436,0
27075,16615,1
27075, 6041,0
12879,1482,1
12879, 11393,0
12779,14738,1
12779, 14176,0
41211,16827,1
41211, 12536,0
36121,675,1
36121, 10066,0
2546,18608,1
2546,1036,0
45930,6590,1
45930, 13001,0
41110,3614,1
41110, 17369,0
34082,10445,1
34082, 2386,0
48112,13607,1
48112, 4029,0
4655,8224,1
4655, 19394,0
2070,10322,1
2070, 43,0
13343,8418,1
13343, 12238,0
44440,11501,1
44440, 4402,0
17567,9128,1
17567, 5123,0
20989,12400,1
20989, 17824,0
37562,17113,1
37562, 5125,0
45362,127,1
45362, 12900,0
18216,9203,1
18216, 17753,0
48240,13934,1
48240, 1317,0
6965,12495,1
6965,18741,0
6575,13489,1
6575, 3741,0
38916,19439,1
38916, 5514,0
49329,17409,1
49329, 14667,0
20542,17946,1
20542, 6020,0
42958,12210,1
42958, 8726,0
46019,7254,1
46019, 9519,0
14394,3694,1
14394, 5626,0
18010,6316,1
18010, 13082,0
37319,1468,1
37319, 10451,0
33468,10678,1
33468, 4691,0
38603,7133,1
38603,10217,0
34099,7383,1
34099, 3032,0
21152,19182,1
21152, 8723,0
4520,9926,1
4520, 18746,0
1415,15856,1
1415,695,0
35055,8109,1
35055, 5686,0
31868,9596,1
31868, 5274,0
16801,10655,1
16801, 14721,0
33453,4509,1
33453, 4882,0
25447,11437,1
25447, 17425,0
45316,3614,1
45316, 6980,0
30958,3293,1
30958, 13442,0
21880,12180,1
21880, 17675,0
42030,18342,1
42030,11028,0
48866,5778,1
48866, 2357,0
23524,9797,1
23524, 1130,0
31748,15031,1
31748, 463,0
30992,11811,1
30992, 16414,0
31698,5355,1
31698, 8412,0
35371,9612,1
35371, 18562,0
11879,1463,1
11879, 15037,0
18201,16893,1
18201, 17463,0
48115,16046,1
48115, 11359,0
19334,9863,1
19334, 12456,0
8378,4385,1
8378, 10547,0
12949,18225,1
12949, 14167,0
37750,16786,1
37750, 2929,0
6211,947,1
6211, 15304,0
32282,8890,1
32282, 8981,0
20411,14683,1
20411, 10797,0
47718,9720,1
47718, 14089,0
33275,16391,1
33275, 7757,0
44696,15372,1
44696, 11060,0
14719,17585,1
14719, 4254,0
6357,4995,1
6357, 8256,0
33120,16077,1
33120, 3828,0
28922,12327,1
28922, 3683,0
39811,2013,1
39811, 207,0
21675,15086,1
21675, 3605,0
29230,12150,1
29230, 10332,0
25963,12341,1
25963, 10042,0
2033,7776,1
2033, 3821,0
11459,18877,1
11459, 18849,0
13883,6191,1
13883, 19254,0
9550,16695,1
9550, 6285,0
15417,11423,1
15417, 14686,0
34496,15817,1
34496, 7585,0
10734,9033,1
10734, 89,0
34425,14377,1
34425, 12748,0
34581,14257,1
34581, 8796,0
42753,3614,1
42753, 11791,0
30197,14109,1
30197, 5686,0
38285,9863,1
38285, 14533,0
46373,18961,1
46373, 19112,0
49780,11920,1
49780, 15745,0
40763,274,1
40763, 4670,0
49485,19459,1
49485, 2693,0
49286,950,1
49286, 17072,0
25571,8817,1
25571, 4962,0
34391,18335,1
34391, 1978,0
12035,17053,1
12035, 13366,0
9333,13441,1
9333, 16780,0
43527,14951,1
43527, 13269,0
1726,13104,1
1726, 5919,0
3985,13842,1
3985, 5451,0
28286,8336,1
28286, 15128,0
44773,6769,1
44773, 7223,0
39606,19635,1
39606, 13899,0
8496,19537,1
8496, 19458,0
4480,12488,1
4480, 9926,0
39944,5645,1
39944, 17396,0
44498,13086,1
44498, 15775,0
38786,7940,1
38786, 19028,0
15041,638,1
15041, 16173,0
14845,16537,1
14845, 12182,0
3676,2672,1
3676, 3013,0
187,4490,1
187, 12620,0
9838,13012,1
9838, 10323,0
15415,6505,1
15415, 9589,0
2658,7063,1
2658, 11857,0
20421,17763,1
20421, 3030,0
15918,4601,1
15918, 10389,0
28886,3966,1
28886, 17417,0
44389,7767,1
44389, 19047,0
31480,11185,1
31480, 15652,0
33518,5432,1
33518, 14826,0
25269,19727,1
25269, 3656,0
16798,6598,1
16798, 18396,0
7876,680,1
7876, 6570,0
40285,4558,1
40285, 1292,0
45136,6903,1
45136, 17261,0
2718,18781,1
2718, 16803,0
15402,16417,1
15402, 13333,0
9199,6392,1
9199, 16766,0
31986,15345,1
31986, 9452,0
43526,7436,1
43526, 10141,0
15044,16462,1
15044, 5419,0
23479,7367,1
23479, 9215,0
8170,1621,1
8170, 5015,0
40740,3947,1
40740, 16893,0
32466,6729,1
32466, 918,0
18026,2267,1
18026, 8336,0
3175,15266,1
3175, 3694,0
34926,19465,1
34926, 7021,0
39189,9339,1
39189, 6570,0
12505,4509,1
12505, 9639,0
48283,4434,1
48283, 19649,0
28913,4986,1
28913, 621,0
33942,19589,1
33942, 12210,0
22267,4825,1
22267, 3789,0
37204,18224,1
37204, 12591,0
37687,10397,1
37687, 16333,0
42798,7258,1
42798, 9932,0
7871,18066,1
7871, 3582,0
3428,7996,1
3428, 8623,0
5044,17456,1
5044, 2667,0
26836,5413,1
26836, 8568,0
35522,19123,1
35522, 13772,0
24354,13200,1
24354, 15336,0
40507,2443,1
40507, 3284,0
12166,11603,1
12166, 4434,0
22188,481,1
22188, 13415,0
9710,18398,1
9710, 18150,0
42456,5572,1
42456, 18872,0
10891,11033,1
10891, 2157,0
33706,4968,1
33706, 16084,0
25700,8085,1
25700, 16824,0
2600,13086,1
2600, 9846,0
47271,2831,1
47271,6010,0
20952,6839,1
20952, 3459,0
21279,1267,1
21279, 14094,0
47479,8382,1
47479, 7523,0
35591,17659,1
35591, 12203,0
44576,18617,1
44576, 8484,0
12419,2099,1
12419, 18666,0
26392,10715,1
26392, 9833,0
20203,11607,1
20203, 1261,0
31727,12846,1
31727, 6269,0
18756,4365,1
18756, 11199,0
42115,8319,1
42115, 12546,0
4567,7607,1
4567, 6622,0
3579,17790,1
3579, 2005,0
3953,9214,1
3953, 13889,0
43082,9291,1
43082, 8118,0
41721,2010,1
41721, 15032,0
28606,8085,1
28606, 10774,0
48073,8096,1
48073, 9638,0
45847,16259,1
45847,4188,0
6572,7087,1
6572, 8119,0
36612,7962,1
36612, 113,0
21447,11582,1
21447, 18962,0
999,19717,1
999, 4446,0
15153,6126,1
15153, 17629,0
46209,7207,1
46209, 970,0
43782,3527,1
43782, 3266,0
40560,6505,1
40560, 9249,0
47176,4578,1
47176, 7607,0
47028,5338,1
47028, 986,0
29946,17151,1
29946, 7383,0
6134,17467,1
6134, 13448,0
37383,16195,1
37383, 11791,0
49113,5188,1
49113, 307,0
25248,7383,1
25248, 3618,0
868,11441,1
868, 1233,0
24144,6038,1
24144, 1106,0
23857,8324,1
23857, 8074,0
33102,156,1
33102, 15666,0
31577,15673,1
31577, 10824,0
28720,7963,1
28720, 11752,0
7227,16520,1
7227, 9499,0
43113,15382,1
43113, 4867,0
6659,1568,1
6659, 7731,0
15375,9384,1
15375, 9050,0
47496,4994,1
47496, 18366,0
24546,16112,1
24546, 7904,0
28118,4627,1
28118, 11254,0
32134,7940,1
32134, 2087,0
35114,6581,1
35114, 11957,0
41016,6448,1
41016, 9660,0
6321,18361,1
6321, 4818,0
31083,13200,1
31083, 14940,0
42055,5716,1
42055, 16014,0
15110,8283,1
15110, 16532,0
43141,9512,1
43141, 18396,0
27862,8199,1
27862, 17148,0
30405,11804,1
30405, 1763,0
2887,73,1
2887, 7287,0
38343,10167,1
38343, 16258,0
43605,13126,1
43605, 5325,0
30663,7607,1
30663, 5475,0
48467,6889,1
48467, 702,0
36489,1712,1
36489, 10726,0
20845,7821,1
20845, 7208,0
42378,776,1
42378, 3848,0
32968,10684,1
32968, 2631,0
12670,16190,1
12670, 5963,0
31241,3670,1
31241, 12373,0
3785,265,1
3785, 13139,0
10071,17318,1
10071, 16141,0
23096,19439,1
23096, 8977,0
12344,6017,1
12344, 936,0
33746,15363,1
33746, 3079,0
4201,9596,1
4201, 12342,0
9232,12327,1
9232, 16463,0
5155,15881,1
5155, 16688,0
48472,8294,1
48472, 765,0
49537,6741,1
49537, 15060,0
23550,11122,1
23550, 9881,0
22128,6349,1
22128, 2848,0
28105,8319,1
28105, 5899,0
26174,14105,1
26174, 2949,0
27536,18229,1
27536, 19559,0
34501,17787,1
34501, 10003,0
11782,11471,1
11782, 12611,0
8364,18629,1
8364, 1410,0
45461,15072,1
45461, 16718,0
41557,11395,1
41557, 10233,0
4245,7258,1
4245,13849,0
4566,4341,1
4566, 4094,0
11037,7695,1
11037, 5428,0
9388,13932,1
9388, 10135,0
35726,17223,1
35726, 13884,0
5942,7029,1
5942, 18937,0
42751,7079,1
42751, 14680,0
9609,1327,1
9609, 7110,0
17497,11177,1
17497, 1960,0
34526,2458,1
34526, 1955,0
10425,7317,1
10425, 5565,0
34902,4134,1
34902, 3517,0
8723,11857,1
8723, 17987,0
44318,18225,1
44318, 1650,0
34735,14049,1
34735, 3336,0
18700,6285,1
18700, 6666,0
32270,5722,1
32270, 19594,0
48875,6225,1
48875, 10939,0
17717,17024,1
17717, 81,0
23500,14558,1
23500, 13313,0
27492,177,1
27492, 13975,0
4085,848,1
4085, 3673,0
38081,17071,1
38081, 15224,0
4673,1277,1
4673, 8120,0
48065,960,1
48065, 16809,0
41320,15881,1
41320, 4583,0
31098,19221,1
31098, 17614,0
27230,11948,1
27230, 12858,0
35503,8944,1
35503, 5541,0
29686,14187,1
29686, 8495,0
29651,2646,1
29651, 15563,0
35233,12916,1
35233, 5222,0
18415,5556,1
18415, 19251,0
3412,11858,1
3412, 6868,0
998,19654,1
998,7830,0
38240,18043,1
38240, 16559,0
17021,18270,1
17021, 14050,0
5717,13397,1
5717, 3483,0
30151,13241,1
30151, 11075,0
22544,3411,1
22544, 3658,0
37828,16734,1
37828, 10273,0
29300,19572,1
29300, 8047,0
6050,8116,1
6050, 15308,0
24606,9816,1
24606, 1956,0
38544,1010,1
38544, 3890,0
7995,12950,1
7995, 18060,0
7403,5789,1
7403, 3772,0
31867,18879,1
31867, 12026,0
22926,209,1
22926, 19104,0
4955,13929,1
4955, 17898,0
9822,18214,1
9822, 11294,0
26960,16121,1
26960, 12944,0
22561,6015,1
22561, 18335,0
49381,5211,1
49381, 19161,0
21858,9234,1
21858, 2646,0
34136,14273,1
34136, 16111,0
29970,12718,1
29970, 17168,0
32920,14644,1
32920, 14239,0
8576,387,1
8576, 6241,0
39270,13298,1
39270, 19688,0
12447,8758,1
12447, 9991,0
6366,4085,1
6366, 5084,0
36379,6333,1
36379, 8093,0
47593,267,1
47593, 14776,0
33422,8205,1
33422, 421,0
26997,2959,1
26997, 13610,0
44534,16061,1
44534, 19361,0
47233,13583,1
47233, 15933,0
34255,18392,1
34255, 14274,0
48459,5458,1
48459, 15132,0
29312,18173,1
29312, 14463,0
17337,4988,1
17337, 19170,0
48314,504,1
48314, 9779,0
25745,17704,1
25745, 16918,0
33640,7023,1
33640, 13716,0
37689,10280,1
37689, 6971,0
36734,14498,1
36734, 12303,0
5686,11570,1
5686, 11764,0
949,14575,1
949, 12257,0
43345,4896,1
43345, 5877,0
13320,15633,1
13320, 1739,0
6440,3260,1
6440, 10870,0
24883,3895,1
24883, 9632,0
5673,1173,1
5673, 4290,0
4333,4138,1
4333, 6245,0
10402,7695,1
10402, 2548,0
48050,13637,1
48050, 15476,0
1484,8786,1
1484, 8617,0
27947,65,1
27947, 9071,0
18976,17059,1
18976, 16006,0
19068,13298,1
19068, 14761,0
15170,15936,1
15170, 19193,0
3272,16629,1
3272, 1299,0
16052,1206,1
16052, 1974,0
24915,14458,1
24915, 2923,0
8411,8054,1
8411,4437,0
13643,15807,1
13643, 6243,0
2817,9734,1
2817, 4563,0
7328,10167,1
7328, 11819,0
697,14834,1
697, 8645,0
32670,7090,1
32670, 3757,0
35673,14692,1
35673, 16432,0
32036,10305,1
32036, 6469,0
25610,19486,1
25610, 12923,0
34336,19384,1
34336, 12615,0
26743,680,1
26743, 16608,0
38929,4572,1
38929, 17867,0
42504,7087,1
42504,13039,0
14897,5003,1
14897, 13953,0
3167,7937,1
3167, 11302,0
24279,18013,1
24279, 9666,0
1021,6572,1
1021, 1427,0
29229,11920,1
29229,15207,0
45312,2054,1
45312, 5436,0
16649,17013,1
16649, 16876,0
47436,122,1
47436, 3888,0
34015,11875,1
34015, 14865,0
451,633,1
451, 6159,0
8350,19297,1
8350, 1498,0
11157,11202,1
11157, 19150,0
26363,16398,1
26363, 15445,0
3347,10712,1
3347, 964,0
11619,18950,1
11619, 16117,0
13441,14476,1
13441, 4152,0
2772,13537,1
2772, 7006,0
14057,7780,1
14057, 7858,0
30686,3895,1
30686, 2791,0
32209,11148,1
32209, 11528,0
2894,6729,1
2894, 12017,0
22446,7628,1
22446, 6265,0
26500,6438,1
26500, 15793,0
33544,18392,1
33544, 12950,0
48623,6017,1
48623, 5742,0
46896,2675,1
46896, 2750,0
32009,9384,1
32009, 5678,0
8836,2479,1
8836, 13536,0
30818,15940,1
30818, 18014,0
11998,19537,1
11998, 9006,0
30595,3170,1
30595,5168,0
25127,6309,1
25127, 5774,0
42886,19574,1
42886, 16588,0
42887,10570,1
42887, 16740,0
11839,7687,1
11839, 3091,0
37354,9923,1
37354, 13473,0
4598,7038,1
4598, 17621,0
38613,9472,1
38613, 17651,0
12224,776,1
12224, 18957,0
15160,8702,1
15160, 6991,0
44294,19644,1
44294, 1750,0
47600,2282,1
47600, 14805,0
12390,9512,1
12390,8918,0
10728,8319,1
10728, 9619,0
5421,3621,1
5421, 15857,0
6004,8085,1
6004, 8513,0
21314,9797,1
21314, 10434,0
14598,16675,1
14598, 5100,0
29366,19537,1
29366, 9604,0
1165,14583,1
1165, 10620,0
16367,14564,1
